Date,One Prize,Two Top,Three Top,Two Low,Three Fronts/Three Bottoms 1,Three Fronts/Three Bottoms 2,Three Fronts/Three Bottoms 3,Three Fronts/Three Bottoms 4
16/08/2552,462933,33,933,96,843,292,292,658
01/08/2552,154986,86,986,92,688,239,239,374
16/07/2552,000816,16,816,94,005,177,177,836
01/07/2552,207542,42,542,66,233,107,107,385
16/06/2552,930456,56,456,15,125,044,044,179
01/06/2552,777661,61,661,26,242,097,097,642
16/05/2552,111411,11,411,54,368,838,838,892
02/05/2552,294452,52,452,11,222,549,549,301
16/04/2552,368415,15,415,33,954,179,179,570
01/04/2552,816578,78,578,50,572,363,363,044
16/03/2552,268812,12,812,36,228,929,929,063
01/03/2552,553091,91,091,67,224,238,238,295
16/02/2552,038730,30,730,93,961,939,939,434
01/02/2552,534533,33,533,69,660,777,777,427
16/01/2552,743212,12,212,25,266,800,800,885
30/12/2551,218596,96,596,22,094,197,197,984
16/12/2551,074114,14,114,25,305,715,715,959
01/12/2551,205434,34,434,05,013,260,260,957
16/11/2551,002612,12,612,20,068,589,589,877
01/11/2551,272028,28,028,76,285,333,333,929
16/10/2551,431277,77,277,98,324,526,526,648
01/10/2551,882911,11,911,67,204,302,302,395
16/09/2551,012377,77,377,56,378,534,534,691
01/09/2551,695993,93,993,09,027,206,206,904
16/08/2551,380377,77,377,36,161,445,445,744
01/08/2551,850348,48,348,11,236,386,386,913
16/07/2551,257374,74,374,41,344,401,401,576
01/07/2551,943671,71,671,50,096,287,287,523
16/06/2551,729111,11,111,75,339,345,345,870
01/06/2551,414875,75,875,35,370,666,666,916
16/05/2551,329231,31,231,69,193,120,120,214
02/05/2551,453011,11,011,62,001,133,133,792
16/04/2551,982800,00,800,64,802,584,584,008
01/04/2551,012653,53,653,71,124,195,195,586
16/03/2551,074946,46,946,33,077,974,974,158
01/03/2551,936685,85,685,05,056,085,085,691
16/02/2551,137054,54,054,80,344,512,512,892
01/02/2551,212684,84,684,26,311,472,472,796
16/01/2551,556010,10,010,81,413,548,548,965
30/12/2550,595411,11,411,81,267,490,490,787
16/12/2550,513501,01,501,96,425,432,432,702
01/12/2550,113410,10,410,18,418,485,485,659
16/11/2550,562481,81,481,73,130,198,198,844
01/11/2550,927907,07,907,88,213,277,277,648
16/10/2550,032988,88,988,48,158,663,663,846
01/10/2550,430667,67,667,76,090,104,104,667
16/09/2550,499336,36,336,45,247,273,273,608
01/09/2550,331810,10,810,69,293,505,505,520
16/08/2550,476207,07,207,93,234,236,236,424
01/08/2550,429924,24,924,29,006,048,048,962
16/07/2550,527384,84,384,77,105,183,183,947
01/07/2550,565151,51,151,76,146,287,287,949
16/06/2550,393194,94,194,41,989,907,907,589
01/06/2550,836393,93,393,05,739,242,242,433
16/05/2550,232897,97,897,25,924,858,858,585
02/05/2550,430374,74,374,81,553,442,442,729
16/04/2550,405105,05,105,63,013,987,987,522
01/04/2550,622780,80,780,93,677,794,794,022
16/03/2550,876763,63,763,85,191,001,001,350
01/03/2550,742425,25,425,61,949,294,294,801
16/02/2550,277859,59,859,95,625,607,607,384
01/02/2550,769925,25,925,56,893,239,239,865
16/01/2550,838739,39,739,55,293,263,263,803
